"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170717;100000;20150703;20171001;"9,139";"9,1332";"9,1375";"981,437649";"1,7067821809195E-03";"8,9016";"9,3918";"8,8735";"9,3614";"Calculado"
"LTN";20170717;100000;20140110;20180101;"8,6242";"8,5996";"8,6126";"962,999573";"3,3790060488708E-03";"8,3007";"8,883";"8,297";"8,8778";"Calculado"
"LTN";20170717;100000;20160108;20180401;"8,4748";"8,4649";"8,47";"944,798725";"1,77635683940025E-15";"8,1321";"8,7998";"8,1275";"8,7942";"Calculado"
"LTN";20170717;100000;20140704;20180701;"8,4073";"8,39";"8,3992";"926,362196";"2,14249335536364E-03";"8,0451";"8,749";"8,0396";"8,7433";"Calculado"
"LTN";20170717;100000;20160708;20181001;"8,4777";"8,4673";"8,4715";"906,853513";"2,90717503199698E-03";"8,1124";"8,8343";"8,1022";"8,8233";"Calculado"
"LTN";20170717;100000;20150109;20190101;"8,5383";"8,5229";"8,53";"888,196819";"1,58882185807825E-15";"8,2061";"8,9799";"8,1563";"8,9293";"Calculado"
"LTN";20170717;100000;20170106;20190401;"8,6924";"8,685";"8,6885";"868,625338";"1,89381584678607E-03";"8,3652";"9,1824";"8,3138";"9,1304";"Calculado"
"LTN";20170717;100000;20150703;20190701;"8,8285";"8,8155";"8,8231";"848,964071";"4,08164094071989E-03";"8,5095";"9,3717";"8,4402";"9,3015";"Calculado"
"LTN";20170717;100000;20170707;20191001;"9,0127";"9,0033";"9,0077";"827,282176";"3,98052341616871E-03";"8,7031";"9,5906";"8,6326";"9,5196";"Calculado"
"LTN";20170717;100000;20160108;20200101;"9,1134";"9,1031";"9,1077";"807,540171";"3,17545676100634E-03";"8,8008";"9,7158";"8,7316";"9,6463";"Calculado"
"LTN";20170717;100000;20160708;20200701;"9,41";"9,403";"9,406";"767,715762";"1,49245096655346E-03";"9,0489";"10,0528";"8,9794";"9,9826";"Calculado"
"LTN";20170717;100000;20170707;20210701;"9,8373";"9,83";"9,8335";"691,268942";"1,83143491452872E-03";"9,4382";"10,5304";"9,3585";"10,4505";"Calculado"
"NTN-C";20170717;770100;20000701;20210401;"--";"--";"5,0959";"3683,868468";"0,047159921350848";"3,9788";"6,4079";"3,9343";"6,3929";"Calculado"
"NTN-C";20170717;770100;20000701;20310101;"--";"--";"5,422";"5652,934159";"5,33408337529004E-02";"4,2958";"6,7598";"4,2501";"6,7433";"Calculado"
"LFT";20170717;210100;20000701;20170907;"--";"--";"0,0001";"8958,271314";"1,57966718033855E-05";"-0,0074";"0,0101";"-0,0077";"0,0104";"Calculado"
"LFT";20170717;210100;20000701;20180301;"--";"--";"0,0035";"8958,08319";"1,95857556087005E-04";"-0,009";"0,0139";"-0,0091";"0,0139";"Calculado"
"LFT";20170717;210100;20000701;20180901;"--";"--";"0,0031";"8957,966733";"2,16004763947264E-04";"-0,0049";"0,0141";"-0,005";"0,014";"Calculado"
"LFT";20170717;210100;20000701;20190301;"--";"--";"0,0058";"8957,438194";"4,00578981867108E-04";"-0,0031";"0,0165";"-0,0032";"0,0163";"Calculado"
"LFT";20170717;210100;20000701;20200301;"--";"--";"0,0108";"8955,754037";"3,86868183813595E-04";"0,001";"0,0202";"0,0008";"0,02";"Calculado"
"LFT";20170717;210100;20000701;20200901;"--";"--";"0,0118";"8954,983625";"5,01209867677347E-04";"0,0017";"0,0222";"0,0016";"0,0219";"Calculado"
"LFT";20170717;210100;20000701;20210301;"--";"--";"0,0134";"8953,953423";"1,95522414233025E-04";"0,0041";"0,0215";"0,004";"0,0212";"Calculado"
"LFT";20170717;210100;20000701;20210901;"--";"--";"0,0134";"8953,34426";"2,23988757582908E-04";"0,0051";"0,0219";"0,0052";"0,0214";"Calculado"
"LFT";20170717;210100;20000701;20220301;"--";"--";"0,0139";"8952,546973";"2,0028660929993E-04";"0,0054";"0,0222";"0,0052";"0,022";"Calculado"
"LFT";20170717;210100;20000701;20220901;"--";"--";"0,0133";"8952,188642";"3,57205201831281E-04";"0,005";"0,0224";"0,005";"0,022";"Calculado"
"LFT";20170717;210100;20000701;20230301;"--";"--";"0,0135";"8951,507813";"2,42588798066767E-04";"0,005";"0,0215";"0,0049";"0,0212";"Calculado"
"LFT";20170717;210100;20000701;20230901;"--";"--";"0,0133";"8951,006149";"3,04644774692418E-04";"0,0045";"0,0207";"0,0047";"0,0203";"Calculado"
"NTN-B";20170717;760199;20000715;20180815;"4,4037";"4,3766";"4,3903";"3116,637872";"1,00366973710291E-03";"3,863";"4,8066";"3,8628";"4,807";"Calculado"
"NTN-B";20170717;760199;20000715;20190515;"4,3673";"4,3507";"4,3589";"3108,641052";"2,07425558499544E-03";"3,971";"4,7773";"3,9356";"4,7426";"Calculado"
"NTN-B";20170717;760199;20000715;20200815;"4,8741";"4,8562";"4,8619";"3162,101828";"3,62020874122594E-03";"4,5916";"5,2599";"4,5434";"5,2119";"Calculado"
"NTN-B";20170717;760199;20000715;20210515;"5,1221";"5,0985";"5,1129";"3114,486033";"5,90357660649573E-03";"4,847";"5,505";"4,8092";"5,4676";"Calculado"
"NTN-B";20170717;760199;20000715;20220815;"5,267";"5,2496";"5,26";"3164,912088";"9,13928053996085E-16";"5,0184";"5,6643";"4,9684";"5,6143";"Calculado"
"NTN-B";20170717;760100;20000715;20230315;"--";"--";"5,299";"3154,497068";"2,41989361675213E-03";"5,0588";"5,699";"5,0108";"5,6512";"Calculado"
"NTN-B";20170717;760199;20000715;20230515;"5,3122";"5,2961";"5,3";"3128,321848";"3,55334527260263E-04";"5,0632";"5,7015";"5,0132";"5,6515";"Calculado"
"NTN-B";20170717;760199;20000715;20240815;"5,2812";"5,2485";"5,2642";"3196,273868";"5,03952630678969E-03";"5,05";"5,6717";"4,988";"5,6097";"Calculado"
"NTN-B";20170717;760199;20000715;20260815;"5,341";"5,3148";"5,323";"3211,190092";"4,85249803847514E-03";"5,1218";"5,73";"5,051";"5,6592";"Calculado"
"NTN-B";20170717;760199;20000715;20300815;"5,44";"5,3851";"5,417";"3231,122286";"6,8904280975049E-03";"5,1843";"5,7979";"5,1359";"5,7495";"Calculado"
"NTN-B";20170717;760199;20000715;20350515;"5,47";"5,4127";"5,444";"3214,173936";"7,85911882176613E-03";"5,2069";"5,8249";"5,1564";"5,7743";"Calculado"
"NTN-B";20170717;760199;20000715;20400815;"5,4397";"5,3812";"5,4103";"3300,379176";"1,18210338847858E-03";"5,1615";"5,782";"5,1186";"5,739";"Calculado"
"NTN-B";20170717;760199;20000715;20450515;"5,5303";"5,499";"5,51";"3234,737614";"1,82503316251144E-15";"5,2601";"5,8817";"5,2161";"5,8375";"Calculado"
"NTN-B";20170717;760199;20000715;20500815;"5,4991";"5,4612";"5,4773";"3308,97456";"3,95046248509665E-03";"5,2243";"5,8467";"5,1817";"5,8039";"Calculado"
"NTN-B";20170717;760199;20000715;20550515;"5,4591";"5,403";"5,4278";"3301,3279";"3,98622628559884E-03";"5,1734";"5,7962";"5,1311";"5,7536";"Calculado"
"NTN-F";20170717;950199;20120106;20180101;"8,669";"8,6536";"8,6612";"1009,7963";"2,18831084124998E-03";"8,3513";"8,9336";"8,3456";"8,9264";"Calculado"
"NTN-F";20170717;950199;20130104;20190101;"8,5274";"8,5016";"8,51";"1023,991448";"9,72950711118099E-16";"8,1874";"8,9528";"8,1376";"8,9022";"Calculado"
"NTN-F";20170717;950199;20100205;20210101;"9,4822";"9,4706";"9,4763";"1019,432648";"2,50635119113233E-03";"9,1136";"10,1435";"9,0301";"10,0597";"Calculado"
"NTN-F";20170717;950199;20120309;20230101;"9,9042";"9,8938";"9,8992";"1009,506864";"1,38087626749974E-03";"9,5088";"10,5733";"9,4479";"10,5125";"Calculado"
"NTN-F";20170717;950199;20140110;20250101;"10,1065";"10,0946";"10,101";"1000,808353";"2,17002581953761E-03";"9,6489";"10,7506";"9,6111";"10,7125";"Calculado"
"NTN-F";20170717;950199;20160115;20270101;"10,2142";"10,1993";"10,2058";"994,184731";"1,80976972828918E-03";"9,6721";"10,8271";"9,6571";"10,8113";"Calculado"
